address,population,households,latitude,longitude
宮崎県宮崎市浦之名川原田（中央）,193,92,,
宮崎県宮崎市浦之名川口，梁瀬（大字浦之名）,108,51,,
宮崎県宮崎市浦之名深水（大字浦之名）,122,58,,
宮崎県宮崎市浦之名片前（去川）,44,22,,
宮崎県宮崎市浦之名田之平（大字浦之名）,140,68,,
宮崎県宮崎市浦之名西区（中央）,34,14,,
宮崎県宮崎市浦之名赤谷（中央）,327,134,,
宮崎県宮崎市浮城町,238,101,31.930018,131.4379191
宮崎県宮崎市淀川一丁目,389,184,31.9046539,131.4180359
宮崎県宮崎市淀川三丁目,313,145,31.899405,131.415911
宮崎県宮崎市淀川二丁目,240,142,31.9019172,131.4163043
宮崎県宮崎市清水一丁目,770,534,31.91948,131.421757
宮崎県宮崎市清水三丁目,687,433,31.9196308,131.4173603
宮崎県宮崎市清水二丁目,708,389,31.9193737,131.4200787
宮崎県宮崎市源藤町,2687,1307,31.8852284,131.4126824
宮崎県宮崎市潮見町,1577,848,31.9043961,131.4392307
宮崎県宮崎市瀬頭一丁目,479,242,31.9069947,131.4294674
宮崎県宮崎市瀬頭二丁目,542,347,31.909456,131.430404
宮崎県宮崎市瀬頭町,28,16,31.906778,131.4306883
宮崎県宮崎市生目台東一丁目,540,233,31.9035122,131.3837066
宮崎県宮崎市生目台東三丁目,1092,472,31.901137,131.3761594
宮崎県宮崎市生目台東二丁目,581,251,31.901781,131.380137
宮崎県宮崎市生目台東五丁目,346,136,31.907101,131.381244
宮崎県宮崎市生目台東四丁目,1364,560,31.9056469,131.3774256
宮崎県宮崎市生目台西一丁目,361,155,31.9097788,131.374264
宮崎県宮崎市生目台西三丁目,408,135,31.9075408,131.3702638
宮崎県宮崎市生目台西二丁目,1109,460,31.906058,131.372558
宮崎県宮崎市生目台西五丁目,461,192,31.901334,131.37007
宮崎県宮崎市生目台西四丁目,557,232,31.9031581,131.3714063
宮崎県宮崎市田代町,1663,890,31.9033054,131.4488089
宮崎県宮崎市甲上井倉（東分団）,391,167,,
宮崎県宮崎市甲上桜町（中央分団）,61,27,,
宮崎県宮崎市甲下井倉（東分団）,468,195,,
宮崎県宮崎市甲下桜町（中央分団）,156,66,,
宮崎県宮崎市甲中尾（東分団）,223,91,,
宮崎県宮崎市甲中桜町（中央分団）,90,44,,
宮崎県宮崎市甲中渡瀬（南分団）,169,68,,
宮崎県宮崎市甲二ツ山（東分団）,412,182,,
宮崎県宮崎市甲今村（東分団）,444,217,,
宮崎県宮崎市甲仏堂園（南分団）,103,47,,
宮崎県宮崎市甲倉谷（南分団）,15,7,,
宮崎県宮崎市甲元野（南分団）,87,37,,
宮崎県宮崎市甲前平天神（東分団）,194,102,,
宮崎県宮崎市甲北寺町（南分団）,64,45,,
宮崎県宮崎市甲南寺町（南分団）,208,88,,
宮崎県宮崎市甲尾脇（南分団）,118,49,,
宮崎県宮崎市甲持田（南分団）,6,3,,
宮崎県宮崎市甲新村（南分団）,195,78,,
宮崎県宮崎市甲明神原（中央分団）,28,10,,
宮崎県宮崎市甲朝日町（中央分団）,379,167,,
宮崎県宮崎市甲木材町（北分団）,195,101,,
宮崎県宮崎市甲東桜町（北分団）,131,65,,
宮崎県宮崎市甲桂谷（南分団）,8,5,,
宮崎県宮崎市甲梅谷（東分団）,277,109,,
宮崎県宮崎市甲楠原（南分団）,33,17,,
宮崎県宮崎市甲石久保（東分団）,211,59,,
宮崎県宮崎市甲築地原（南分団）,305,123,,
宮崎県宮崎市甲船ケ山（東分団）,101,42,,
宮崎県宮崎市甲西桜町（北分団）,25,13,,
宮崎県宮崎市甲黒草（南分団）,94,39,,
宮崎県宮崎市矢の先町,527,238,31.9404884,131.4184528
宮崎県宮崎市石崎一丁目,204,73,32.005692,131.474133
宮崎県宮崎市石崎三丁目,234,106,32.0068631,131.4767405
宮崎県宮崎市石崎二丁目,354,134,32.00754,131.475287
宮崎県宮崎市祇園一丁目,548,231,31.9272262,131.4086568
宮崎県宮崎市祇園三丁目,820,473,31.9354811,131.4102815
宮崎県宮崎市祇園二丁目,613,299,31.930668,131.409465
宮崎県宮崎市祇園四丁目,695,401,31.939669,131.409593
宮崎県宮崎市神宮一丁目,926,439,31.932664,131.423587
宮崎県宮崎市神宮二丁目,358,197,31.9362461,131.423292
宮崎県宮崎市神宮東一丁目,1025,532,31.933457,131.427014
宮崎県宮崎市神宮東三丁目,956,507,31.9384125,131.428643
宮崎県宮崎市神宮東二丁目,988,516,31.935818,131.427416
宮崎県宮崎市神宮町,79,29,31.9404505,131.4269224
宮崎県宮崎市神宮西一丁目,1050,514,31.9369281,131.41878
宮崎県宮崎市神宮西二丁目,884,479,31.939133,131.418702
宮崎県宮崎市福島町,640,239,31.9095119,131.4021699
宮崎県宮崎市福島町一丁目,16,6,31.906355,131.409458
宮崎県宮崎市福島町三丁目,264,145,31.908539,131.406518
宮崎県宮崎市福島町二丁目,68,36,31.9066545,131.4084273
