address,latitude,longitude,population,households,huff_1.0,huff_1.2,huff_1.5,huff_1.8,huff_2.0
宮崎県宮崎市大字小松,31.9372724,131.4024732,4954,2138,0.07896104347750142,0.0933158124600552,0.12335296309419365,0.15639259318555992,0.17988024698844146
宮崎県宮崎市大字島之内,31.9875008,131.4547509,11004,4357,0.08213837182546498,0.09887280032880791,0.12350334264615126,0.1459708568162727,0.15912246899074733
宮崎県宮崎市大字広原,32.0021738,131.4315437,1232,404,0.0679001699977755,0.07959996269966793,0.09698004564886255,0.11345527275579151,0.123649089525337
宮崎県宮崎市大字恒久北,,,2715,1147,,,,,
宮崎県宮崎市大字恒久南,,,3660,1759,,,,,
宮崎県宮崎市大字恒久東,,,2164,1152,,,,,
宮崎県宮崎市大字折生迫,31.786119,131.462285,218,96,0.039185030020098745,0.04228755473385583,0.04649016984134953,0.05059771258854903,0.0531943163401826
宮崎県宮崎市大字新名爪,31.9754855,131.4377053,3246,1237,0.124769808573378,0.15528427212125956,0.19968767592987796,0.2392279046723011,0.2620905073948823
宮崎県宮崎市大字有田,31.9531476,131.3759261,535,204,0.06579834718794939,0.08288347578398089,0.11281021695556315,0.14814556330428358,0.17481415702267772
宮崎県宮崎市大字本郷北方,31.8712016,131.4277612,5803,2412,0.0680746335086684,0.07588649190622122,0.08480429715560156,0.09036486115347957,0.11718065333293558
宮崎県宮崎市大字本郷南方,31.860457,131.436094,5862,2431,0.057525573251204117,0.06343140179898873,0.0814264988590742,0.13524477010360828,0.18399030814021075
宮崎県宮崎市大字柏原,31.937854,131.370783,492,187,0.08628413595342074,0.11303857612770572,0.16152518647140127,0.21978905870899404,0.2635194708682528
宮崎県宮崎市大字浮田,31.9278177,131.3714639,2191,745,0.08131639438660587,0.10459278952332463,0.1452997468733807,0.19239682921164414,0.2268344368802487
宮崎県宮崎市大字熊野,31.8298241,131.4371155,4094,2090,0.04707517007238936,0.05198763648904561,0.05858663350989509,0.06424448476254363,0.06752510313900541
宮崎県宮崎市大字瓜生野,31.984175,131.394637,2108,874,0.06038017011121503,0.06952053587968963,0.0830661527520013,0.09625691425251333,0.10482836116625016
宮崎県宮崎市大字生目,31.9174166,131.3725915,560,204,0.07759857222172449,0.09268488281000481,0.11587128514415672,0.13925956202798526,0.1547460354035032
宮崎県宮崎市大字田吉,31.864439,131.449119,2791,1291,0.055410922272457155,0.061173262219226615,0.06816516204072168,0.07312677449763691,0.0942686013506984
宮崎県宮崎市大字糸原,31.9586024,131.3651774,2090,670,0.0527502494658862,0.06447677434012648,0.08433805765139026,0.10704360166653996,0.12385692916969358
宮崎県宮崎市大字細江,31.895298,131.342285,1129,459,0.049140879304934465,0.05381136195448188,0.059855612297408094,0.0654370478961544,0.06964138427372454
宮崎県宮崎市大字芳士,31.9645454,131.4433238,5413,2297,0.433433650552863,0.5485474763728201,0.6826170415719511,0.7759115915201993,0.8217918240378806
宮崎県宮崎市大字赤江,31.8789772,131.4487785,4299,1980,0.05975939866491279,0.06612147844965094,0.07411736897231168,0.08057141451879006,0.084185102020441
宮崎県宮崎市大字跡江,31.9446639,131.3907832,1925,689,0.09999537308764513,0.1327433215903702,0.19249406955294274,0.26439939125527195,0.31804752551773674
宮崎県宮崎市大字郡司分,31.8550541,131.41632,2511,975,0.05705263620890773,0.0634471001859312,0.07150943614142394,0.07776430980973367,0.08100763411690505
宮崎県宮崎市大字金崎,31.9727655,131.3583879,422,173,0.04390277857404802,0.04901773951069023,0.060737785029824715,0.0737120283177554,0.08295194640027063
宮崎県宮崎市大字鏡洲,31.8161588,131.3809444,760,314,0.042964205888474945,0.04633789003807247,0.05034448785090352,0.06311557413557373,0.07399150841082873
宮崎県宮崎市大字長嶺,31.923403,131.356183,230,107,0.060206982014490415,0.07005194247394199,0.08485872214468694,0.10191869346038387,0.11628058173653495
宮崎県宮崎市大島町,31.9404728,131.4413416,5895,2560,0.06409967755278487,0.07077042793313225,0.07887769606181375,0.08511797810565574,0.08842724682025727
宮崎県宮崎市大工一丁目,31.91745,131.413968,663,473,0.0678829016238638,0.07618640848813579,0.08717528736230439,0.0968521935428622,0.10274912431162582
宮崎県宮崎市大工三丁目,31.91771,131.406017,1626,1053,0.12469017855196138,0.15460917647967953,0.2013082849367542,0.24823910653842696,0.27853614218412487
宮崎県宮崎市大工二丁目,31.9175146,131.4102092,1308,778,0.0884293970024083,0.10433217052094773,0.12819722346918772,0.1522294368415092,0.16837325695723987
宮崎県宮崎市大橋一丁目,31.920177,131.4147,1027,580,0.06767983802361448,0.07577041540939694,0.08614867624695959,0.09477493031778722,0.09969044597456486
宮崎県宮崎市大橋三丁目,31.921646,131.407025,1947,1058,0.12565876129184797,0.15611021145138754,0.20357960672369935,0.251023193150993,0.28143768605487557
宮崎県宮崎市大橋二丁目,31.9207007,131.4116423,637,336,0.08492868427671044,0.09947739115237295,0.12084754982676625,0.14177819445023587,0.15550341302192627
宮崎県宮崎市大淀一丁目,31.901768,131.424658,451,250,0.09489782118310375,0.1076867415060487,0.12385338136582495,0.13680241117491596,0.1438211776116475
宮崎県宮崎市大淀三丁目,31.89705,131.422123,230,159,0.15258065474511498,0.17824616791816578,0.20993567432905968,0.23440423822591921,0.24746087530031619
宮崎県宮崎市大淀二丁目,31.899803,131.423544,388,211,0.11243510328688806,0.12920757426252136,0.15026241452799116,0.16677986966984942,0.17554341119212868
宮崎県宮崎市大淀四丁目,31.8956329,131.4201148,251,172,0.21316277709778428,0.24464794658629285,0.277408888439969,0.2977983148157886,0.30689255253756204
宮崎県宮崎市大王町,31.9070841,131.4396974,479,227,0.06496343255303784,0.07491238383925171,0.08898156697369841,0.10232799788313962,0.11094914647841489
宮崎県宮崎市天満一丁目,31.900873,131.414532,254,156,0.17850696541250421,0.21111105196625024,0.2523707647684712,0.28495339945764686,0.30254463431764966
宮崎県宮崎市天満三丁目,31.8961135,131.4148622,476,226,0.17214128308238233,0.19471226639662453,0.2197866225215886,0.23803168152463008,0.24789077960782305
宮崎県宮崎市天満二丁目,31.8980428,131.4143483,212,113,0.25369851292551643,0.29931859982943393,0.3529415905375101,0.3921038683995907,0.4121446534190832
宮崎県宮崎市天満町,31.900934,131.411172,309,187,0.2041428842381015,0.2472695794833788,0.3039868900387813,0.3499369684398173,0.37490219140880754
宮崎県宮崎市太田一丁目,31.90301,131.42224,512,242,0.09025397482055417,0.1006380579996644,0.11901493054028735,0.1618701647380071,0.19461979411975017
宮崎県宮崎市太田三丁目,31.8997272,131.4213406,303,153,0.1181755173856129,0.13395180330433745,0.15126224384560694,0.17305913390893551,0.20313281940351582
宮崎県宮崎市太田二丁目,31.901661,131.42157,311,179,0.09894172739114748,0.11018781155230209,0.15786139611000957,0.2185499223404612,0.26438667691030615
宮崎県宮崎市太田四丁目,31.8975938,131.4207072,320,187,0.1558671127734789,0.18071719840249165,0.21039838189968818,0.23255056748648348,0.24412205792342404
宮崎県宮崎市学園木花台北一丁目,31.833428,131.430288,296,113,0.048351477486157673,0.05346742113961533,0.0602848139267636,0.06605614649789507,0.06935698694589855
宮崎県宮崎市学園木花台北三丁目,31.832873,131.422729,1187,546,0.04855427726274915,0.053336043951002915,0.06005287923587108,0.06567805420680077,0.06885369747735935
宮崎県宮崎市学園木花台北二丁目,31.833322,131.426468,575,231,0.048506117985168115,0.05350999946876372,0.06030312806018177,0.0660255541775513,0.0692792977251816
宮崎県宮崎市学園木花台南一丁目,31.828709,131.427042,318,134,0.04738855510108819,0.0519708530274048,0.05851874623756498,0.06408476119123291,0.06727782181383068
宮崎県宮崎市学園木花台南三丁目,31.829901,131.423624,867,381,0.0477944763310904,0.052342982194590916,0.05891284612325793,0.0644551881331902,0.06760754912361924
